Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,136.5,-100.02,90,bottom
C2,2.2µF,C_0402_1005Metric,135.75,-97.75,90,bottom
C3,100nF,C_0402_1005Metric,130.27,-102.75,180,bottom
C4,100nF,C_0402_1005Metric,130.27,-103.75,180,bottom
C5,100nF,C_0402_1005Metric,138.5,-102.25,0,bottom
C6,10nF,C_0402_1005Metric,138.48,-103.25,0,bottom
C7,10nF,C_0402_1005Metric,138.25,-100.02,-90,bottom
C8,91pF,C_0402_1005Metric,134,-97.25,0,bottom
C9,1µF,C_0402_1005Metric,133.98,-107.25,0,bottom
C11,1uF,C_0402_1005Metric,148.25,-99.27,90,bottom
C12,0.1uF,C_0402_1005Metric,147.25,-99.27,90,bottom
R1,0,R_0402_1005Metric,141.25,-108.5,180,bottom
R2,10k,R_0402_1005Metric,140.5,-101,-90,bottom
R3,10k,R_0402_1005Metric,141.75,-101,-90,bottom
U1,TCAL9539RTW,TI_RTW24_4x4mm_EP2.2mm,147.750001,-103.8923,-90,bottom
U2,RF430FRL152,RF430FRL152H,135.100001,-104,-90,bottom